scenario,inference_runtime,inference_idealized_runtime,inference_runtime_discrepancy,num_prompt_tokens,num_perplexity_tokens,num_output_tokens,finish_reason_length,finish_reason_stop,finish_reason_endoftext,finish_reason_unknown,exact_match
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,model=ai21_j1-large",0.536136198,0.071,0.465136198,509,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,model=ai21_j1-jumbo",1.323942184,0.499,0.8249421844,1018,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,model=ai21_j1-large",1.090591979,0.161,0.929591979,1018,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,model=ai21_j1-large",1.902543044,1.559,0.3435430441,509,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,model=ai21_j1-jumbo",2.260316157,2.149,0.1113161573,509,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,model=ai21_j1-large",0.3224277735,0.0264,0.2960277735,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,model=ai21_j1-large",0.5617777824,0.047,0.5147777824,509,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,model=ai21_j1-large",0.6120090961,0.119,0.4930090961,509,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,model=ai21_j1-grande",3.406547284,,,509,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=64,model=ai21_j1-jumbo",4.878071642,4.339,0.5390716419,1018,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,model=ai21_j1-large",1.849891496,1.5384,0.3114914957,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,model=ai21_j1-jumbo",0.5505979776,0.2624,0.2881979776,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,model=ai21_j1-jumbo",1.065100455,0.613,0.4521004553,509,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,model=ai21_j1-large",0.4301373482,0.1944,0.2357373482,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,model=ai21_j1-large",1.321043515,0.449,0.8720435152,1018,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,model=ai21_j1-jumbo",0.8723447084,0.165,0.7073447084,509,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,model=ai21_j1-jumbo",1.08245852,0.371,0.7114585199,1018,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,model=ai21_j1-grande",3.090166116,,,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,model=ai21_j1-grande",2.889932537,,,509,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,model=ai21_j1-jumbo",1.505750251,0.307,1.198750251,1018,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,model=ai21_j1-jumbo",0.8053064823,0.1344,0.6709064823,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,model=ai21_j1-jumbo",2.620359802,2.291,0.3293598022,1018,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,model=ai21_j1-grande",0.7888510704,,,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,model=ai21_j1-large",0.7884888649,0.407,0.3814888649,509,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,model=ai21_j1-jumbo",0.7775420427,0.357,0.4205420427,509,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,model=ai21_j1-jumbo",0.6895911455,0.5184,0.1711911455,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,model=ai21_j1-jumbo",2.051388645,2.0544,-0.003011354828,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,model=ai21_j1-grande",0.7601678133,,,1018,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,model=ai21_j1-grande",2.508770084,,,509,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=64,model=ai21_j1-grande",3.149787354,,,1018,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,model=ai21_j1-jumbo",4.215916038,4.197,0.01891603756,509,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,model=ai21_j1-jumbo",0.6554140806,0.229,0.4264140806,509,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,model=ai21_j1-large",0.3433688641,0.0504,0.2929688641,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,model=ai21_j1-jumbo",1.989438295,0.755,1.234438295,1018,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,model=ai21_j1-jumbo",0.4188786507,0.0704,0.3484786507,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,model=ai21_j1-grande",1.275964427,,,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,model=ai21_j1-jumbo",1.901462531,1.267,0.6344625311,1018,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,model=ai21_j1-large",1.052223253,0.257,0.7952232533,1018,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,model=ai21_j1-grande",2.303437829,,,1018,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,model=ai21_j1-grande",0.6191655636,,,509,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,model=ai21_j1-grande",1.837953877,,,509,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,model=ai21_j1-jumbo",4.023581386,4.1024,-0.07881861439,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,model=ai21_j1-jumbo",1.124494481,1.0304,0.09409448109,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,model=ai21_j1-large",0.7623107672,0.089,0.6733107672,1018,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,model=ai21_j1-grande",0.5582949877,,,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,model=ai21_j1-grande",3.255364203,,,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,model=ai21_j1-large",0.6966493368,0.215,0.4816493368,509,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,model=ai21_j1-large",1.49528966,0.833,0.6622896595,1018,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,model=ai21_j1-grande",2.209515643,,,1018,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,model=ai21_j1-grande",2.506846642,,,509,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,model=ai21_j1-grande",1.220779586,,,1018,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,model=ai21_j1-grande",1.594652081,,,509,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,model=ai21_j1-jumbo",1.451916051,1.125,0.3269160509,509,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,model=ai21_j1-large",0.3685417175,0.0984,0.2701417175,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,model=ai21_j1-large",0.6248791456,0.3864,0.2384791456,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,model=ai21_j1-large",1.43861444,0.791,0.64761444,509,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,model=ai21_j1-large",0.891295433,0.113,0.778295433,1018,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,model=ai21_j1-grande",0.7767668247,,,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,model=ai21_j1-grande",3.505732107,,,1018,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,model=ai21_j1-large",0.9179072857,0.7704,0.1475072857,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,model=ai21_j1-grande",1.230795169,,,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,model=ai21_j1-grande",0.9543980598,,,1018,4,4,1,0,0,0,0